Time,Replica1,Replica2,Replica3
15900.0,2.42764,2.43654,2.4307
16000.0,2.42583,2.43721,2.43587
16100.0,2.42605,2.4451,2.42802
16200.0,2.43811,2.44295,2.43027
16300.0,2.44107,2.44585,2.44286
16400.0,2.42744,2.47355,2.44
16500.0,2.44295,2.46599,2.44149
16600.0,2.42657,2.45435,2.43182
16700.0,2.44369,2.47285,2.43708
16800.0,2.44475,2.46139,2.42204
16900.0,2.43084,2.48526,2.43865
17000.0,2.45378,2.46975,2.45475
17100.0,2.45531,2.4642,2.44732
17200.0,2.47457,2.47683,2.45161
17300.0,2.46652,2.46402,2.4613
17400.0,2.48186,2.48089,2.45495
17500.0,2.46283,2.48272,2.46394
17600.0,2.4544,2.48476,2.45285
17700.0,2.46317,2.49077,2.4469
17800.0,2.45883,2.49385,2.45195
17900.0,2.45646,2.50155,2.44173
18000.0,2.46562,2.48297,2.43469
18100.0,2.45789,2.48438,2.44545
18200.0,2.46332,2.47844,2.43707
18300.0,2.43333,2.4716,2.44379
18400.0,2.43925,2.47197,2.4344
18500.0,2.45739,2.46106,2.42701
18600.0,2.44462,2.45322,2.42932
18700.0,2.43938,2.44701,2.42329
18800.0,2.44951,2.44702,2.42599
18900.0,2.44422,2.45096,2.42822
19000.0,2.43191,2.46805,2.41611
19100.0,2.42992,2.48288,2.42564
19200.0,2.44991,2.48684,2.41317
19300.0,2.44691,2.46724,2.41416
19400.0,2.46703,2.48015,2.42223
19500.0,2.43737,2.46905,2.43624
19600.0,2.43011,2.46562,2.43229
19700.0,2.43733,2.47652,2.41764
19800.0,2.42805,2.48607,2.43181
19900.0,2.4341,2.46761,2.42336
20000.0,2.4532,2.46333,2.42333
20100.0,2.44303,2.46437,2.42508
20200.0,2.44014,2.45372,2.42573
20300.0,2.43426,2.44902,2.42432
20400.0,2.44666,2.47425,2.42733
20500.0,2.43607,2.45773,2.44057
20600.0,2.42939,2.47001,2.43428
20700.0,2.43305,2.4816,2.42915
20800.0,2.43336,2.46656,2.43971
20900.0,2.41961,2.4448,2.44855
21000.0,2.42589,2.46306,2.44009
21100.0,2.43224,2.4822,2.43035
21200.0,2.44301,2.46784,2.43457
21300.0,2.4321,2.47891,2.43294
21400.0,2.43909,2.48342,2.45414
21500.0,2.42545,2.47733,2.45162
21600.0,2.4283,2.47585,2.4475
21700.0,2.45299,2.49038,2.44876
21800.0,2.45552,2.48705,2.43617
21900.0,2.44414,2.46466,2.43491
22000.0,2.44935,2.46062,2.43635
22100.0,2.44113,2.4636,2.43879
22200.0,2.43661,2.4727,2.44105
22300.0,2.44904,2.46569,2.43997
22400.0,2.44815,2.46902,2.45162
22500.0,2.43866,2.48811,2.44806
22600.0,2.42758,2.48991,2.44945
22700.0,2.44445,2.48835,2.44126
22800.0,2.42934,2.50233,2.43349
22900.0,2.44446,2.48737,2.43328
23000.0,2.44243,2.4759,2.43517
23100.0,2.43064,2.47552,2.43289
23200.0,2.44927,2.48293,2.4455
23300.0,2.45464,2.47548,2.43998
23400.0,2.43679,2.5085,2.45263
23500.0,2.45274,2.48422,2.4397
23600.0,2.45985,2.50892,2.4363
23700.0,2.44716,2.49642,2.43729
23800.0,2.45822,2.47935,2.44139
23900.0,2.45362,2.49599,2.43741
24000.0,2.45346,2.4805,2.4478
24100.0,2.45151,2.48245,2.44334
24200.0,2.4462,2.47573,2.45909
24300.0,2.46025,2.46701,2.4531
24400.0,2.46201,2.49321,2.44394
24500.0,2.46058,2.48028,2.44482
24600.0,2.45694,2.50468,2.45394
24700.0,2.44693,2.47966,2.45036
24800.0,2.45762,2.49286,2.45029
24900.0,2.4436,2.49011,2.43134
25000.0,2.45042,2.49038,2.44107
25100.0,2.43844,2.48464,2.44171
