Time,Replica1,Replica2,Replica3
9400.0,8.617,18.56,18.295
9450.0,9.087,18.019,18.258
9500.0,8.823,17.17,17.517
9550.0,8.714,16.337,17.137
9600.0,8.635,16.906,17.916
9650.0,8.861,16.546,17.987
9700.0,8.824,16.54,17.57
9750.0,8.912,16.063,17.999
9800.0,9.034,16.287,17.112
9850.0,8.664,16.015,17.112
9900.0,9.079,15.722,17.639
9950.0,9.002,15.84,18.005
10000.0,8.824,15.802,17.736
10050.0,8.884,15.123,17.953
10100.0,9.424,16.097,18.054
10150.0,8.529,16.173,18.354
10200.0,9.011,16.661,18.42
10250.0,8.512,15.705,18.243
10300.0,8.708,16.285,18.87
10350.0,8.824,15.793,18.856
10400.0,9.019,15.636,18.019
10450.0,8.409,16.578,18.002
10500.0,9.037,16.328,17.762
10550.0,8.876,16.012,18.735
10600.0,8.863,16.635,17.963
10650.0,8.732,15.847,17.77
10700.0,8.573,16.806,17.895
10750.0,8.923,15.18,18.072
10800.0,8.569,15.554,18.714
10850.0,8.935,15.25,18.268
10900.0,8.878,15.922,18.145
10950.0,9.081,16.715,18.48
11000.0,8.974,15.66,18.767
11050.0,8.498,16.279,18.855
11100.0,8.737,16.733,17.963
11150.0,8.937,16.375,17.935
11200.0,8.715,16.434,17.782
11250.0,8.863,15.931,17.956
11300.0,8.831,15.837,18.321
11350.0,9.095,15.569,18.272
11400.0,9.203,15.738,17.492
11450.0,9.259,15.259,17.752
11500.0,8.675,16.523,17.737
11550.0,8.795,15.169,17.96
11600.0,8.98,16.503,17.677
11650.0,8.91,15.815,16.728
11700.0,8.829,16.145,17.827
11750.0,9.176,16.244,18.787
11800.0,8.691,15.575,17.965
11850.0,8.634,16.289,17.762
11900.0,8.485,17.524,18.274
11950.0,8.865,16.535,17.218
12000.0,9.175,16.341,16.617
12050.0,8.718,17.308,17.293
12100.0,8.673,15.796,16.657
12150.0,8.582,16.737,17.192
12200.0,9.331,15.739,16.742
12250.0,9.014,16.651,16.851
12300.0,8.513,17.89,16.767
12350.0,9.004,16.65,17.517
12400.0,9.093,15.311,17.161
12450.0,8.692,16.337,16.601
12500.0,9.137,15.858,16.547
12550.0,8.842,17.099,16.89
12600.0,9.237,15.952,17.127
12650.0,8.962,15.475,17.425
12700.0,9.083,15.728,17.816
12750.0,9.103,16.784,17.278
12800.0,8.585,16.634,17.195
12850.0,8.1,17.263,17.359
12900.0,8.907,16.518,18.137
12950.0,9.024,15.528,17.161
13000.0,8.771,16.718,17.931
13050.0,8.696,15.766,16.656
13100.0,8.808,16.538,16.629
13150.0,9.366,17.305,17.14
13200.0,8.68,17.132,16.712
13250.0,8.846,16.915,16.534
13300.0,8.929,16.711,17.515
13350.0,8.604,17.526,17.483
13400.0,9.003,17.105,16.837
13450.0,9.085,17.224,17.026
13500.0,9.218,16.726,17.661
13550.0,8.891,15.769,17.503
13600.0,9.366,16.542,17.552
13650.0,8.966,16.428,15.961
13700.0,8.755,15.578,16.704
13750.0,9.083,16.042,17.254
13800.0,9.146,16.281,17.941
13850.0,8.781,16.465,17.461
13900.0,9.093,15.673,17.703
13950.0,9.172,15.559,16.239
14000.0,8.714,15.572,16.93
14050.0,8.526,15.274,17.324
14100.0,8.938,15.003,17.603
14150.0,9.669,15.12,17.179
14200.0,9.136,15.309,17.009
14250.0,8.922,15.217,17.079
