time     replica1     replica2     replica3
10600        8.863       16.635       17.963
10650        8.732       15.847       17.770
10700        8.573       16.806       17.895
10750        8.923       15.180       18.072
10800        8.569       15.554       18.714
10850        8.935       15.250       18.268
10900        8.878       15.922       18.145
10950        9.081       16.715       18.480
11000        8.974       15.660       18.767
11050        8.498       16.279       18.855
11100        8.737       16.733       17.963
11150        8.937       16.375       17.935
11200        8.715       16.434       17.782
11250        8.863       15.931       17.956
11300        8.831       15.837       18.321
11350        9.095       15.569       18.272
11400        9.203       15.738       17.492
11450        9.259       15.259       17.752
11500        8.675       16.523       17.737
11550        8.795       15.169       17.960
11600        8.980       16.503       17.677
11650        8.910       15.815       16.728
11700        8.829       16.145       17.827
11750        9.176       16.244       18.787
11800        8.691       15.575       17.965
11850        8.634       16.289       17.762
11900        8.485       17.524       18.274
11950        8.865       16.535       17.218
12000        9.175       16.341       16.617
12050        8.718       17.308       17.293
12100        8.673       15.796       16.657
12150        8.582       16.737       17.192
12200        9.331       15.739       16.742
12250        9.014       16.651       16.851
12300        8.513       17.890       16.767
12350        9.004       16.650       17.517
12400        9.093       15.311       17.161
12450        8.692       16.337       16.601
12500        9.137       15.858       16.547
12550        8.842       17.099       16.890
12600        9.237       15.952       17.127
12650        8.962       15.475       17.425
12700        9.083       15.728       17.816
12750        9.103       16.784       17.278
12800        8.585       16.634       17.195
12850        8.100       17.263       17.359
12900        8.907       16.518       18.137
12950        9.024       15.528       17.161
13000        8.771       16.718       17.931
13050        8.696       15.766       16.656
13100        8.808       16.538       16.629
13150        9.366       17.305       17.140
13200        8.680       17.132       16.712
13250        8.846       16.915       16.534
13300        8.929       16.711       17.515
13350        8.604       17.526       17.483
13400        9.003       17.105       16.837
13450        9.085       17.224       17.026
13500        9.218       16.726       17.661
13550        8.891       15.769       17.503
13600        9.366       16.542       17.552
13650        8.966       16.428       15.961
13700        8.755       15.578       16.704
13750        9.083       16.042       17.254
13800        9.146       16.281       17.941
13850        8.781       16.465       17.461
13900        9.093       15.673       17.703
13950        9.172       15.559       16.239
14000        8.714       15.572       16.930
14050        8.526       15.274       17.324
14100        8.938       15.003       17.603
14150        9.669       15.120       17.179
14200        9.136       15.309       17.009
14250        8.922       15.217       17.079
